SEMANTICS;P_PARTIAL;NOISE;RATIO_CONFIG;NFILES_POS;N_RUNS;MEAN_MCC_FULL;MEAN_MCC_HARD;MEAN_DELTA
ADM;1.0;0.0;60pos;48;5;1.0000;1.0000;+0.0000
ADM;1.0;0.0;60pos;72;5;0.9865;0.9827;-0.0037
ADM;1.0;0.0;60pos;96;5;1.0000;1.0000;+0.0000
ADM;1.0;0.1;1;10;5;0.8634;0.7453;-0.1181
ADM;1.0;0.1;1;20;5;0.9270;0.8763;-0.0507
ADM;1.0;0.1;1;30;5;0.9496;0.8975;-0.0521
ADM;1.0;0.1;1;40;5;0.9940;0.9882;-0.0058
ADM;1.0;0.1;1;60;5;0.9267;0.8525;-0.0742
ADM;1.0;0.1;1;80;5;0.9689;0.9458;-0.0232
ADM;1.0;0.1;40pos;16;5;0.9529;0.9235;-0.0294
ADM;1.0;0.1;40pos;24;5;0.9784;0.9340;-0.0445
ADM;1.0;0.1;40pos;32;5;0.9688;0.9437;-0.0252
ADM;1.0;0.1;40pos;48;5;0.9666;0.9804;+0.0138
ADM;1.0;0.1;40pos;64;5;0.9765;0.9715;-0.0050
ADM;1.0;0.1;40pos;8;5;0.8675;0.8054;-0.0621
ADM;1.0;0.1;60pos;12;5;0.8829;0.8020;-0.0809
ADM;1.0;0.1;60pos;24;5;0.9534;0.8762;-0.0772
ADM;1.0;0.1;60pos;36;5;0.9708;0.9438;-0.0270
ADM;1.0;0.1;60pos;48;5;0.8852;0.7813;-0.1039
ADM;1.0;0.1;60pos;72;5;0.9901;0.9805;-0.0096
ADM;1.0;0.1;60pos;96;5;0.9674;0.9442;-0.0232
ADM;1.0;0.2;1;10;5;0.7164;0.7333;+0.0170
ADM;1.0;0.2;1;20;5;0.6891;0.6698;-0.0193
ADM;1.0;0.2;1;30;5;0.8565;0.7751;-0.0813
ADM;1.0;0.2;1;40;5;0.8036;0.7527;-0.0509
ADM;1.0;0.2;1;60;5;0.9317;0.8923;-0.0394
ADM;1.0;0.2;1;80;5;0.9423;0.9189;-0.0234
ADM;1.0;0.2;40pos;16;5;0.8467;0.7922;-0.0545
ADM;1.0;0.2;40pos;24;5;0.8241;0.7435;-0.0805
ADM;1.0;0.2;40pos;32;5;0.9037;0.8930;-0.0107
ADM;1.0;0.2;40pos;48;5;0.9148;0.8603;-0.0545
ADM;1.0;0.2;40pos;64;5;0.9504;0.9442;-0.0061
ADM;1.0;0.2;40pos;8;5;0.6245;0.5769;-0.0476
ADM;1.0;0.2;60pos;12;5;0.7362;0.6466;-0.0896
ADM;1.0;0.2;60pos;24;5;0.8929;0.8572;-0.0357
ADM;1.0;0.2;60pos;36;5;0.9081;0.8847;-0.0234
ADM;1.0;0.2;60pos;48;5;0.8737;0.8345;-0.0393
ADM;1.0;0.2;60pos;72;5;0.8971;0.8941;-0.0030
ADM;1.0;0.2;60pos;96;5;0.9457;0.8647;-0.0810
CMP;0.5;0.0;1;10;5;0.9633;0.9058;-0.0575
CMP;0.5;0.0;1;20;5;1.0000;1.0000;+0.0000
CMP;0.5;0.0;1;30;5;0.9532;0.9090;-0.0442
CMP;0.5;0.0;1;40;5;1.0000;1.0000;+0.0000
CMP;0.5;0.0;1;60;5;1.0000;0.9980;-0.0020
CMP;0.5;0.0;1;80;5;0.9922;0.9791;-0.0131
CMP;0.5;0.0;40pos;16;5;0.9155;0.8850;-0.0306
CMP;0.5;0.0;40pos;24;5;0.9846;0.9803;-0.0043
CMP;0.5;0.0;40pos;32;5;0.9516;0.9516;+0.0000
CMP;0.5;0.0;40pos;48;5;1.0000;1.0000;+0.0000
CMP;0.5;0.0;40pos;64;5;0.9883;0.9883;+0.0000
CMP;0.5;0.0;40pos;8;5;0.7797;0.6771;-0.1026
CMP;0.5;0.0;60pos;12;5;0.9649;0.8954;-0.0695
CMP;0.5;0.0;60pos;24;5;0.8922;0.8656;-0.0266
CMP;0.5;0.0;60pos;36;5;1.0000;0.9941;-0.0059
CMP;0.5;0.0;60pos;48;5;0.9846;0.9803;-0.0043
CMP;0.5;0.0;60pos;72;5;0.9767;0.9767;+0.0000
CMP;0.5;0.0;60pos;96;5;0.9980;0.9846;-0.0134
CMP;0.5;0.1;1;10;5;0.7467;0.6576;-0.0891
CMP;0.5;0.1;1;20;5;0.4646;0.4291;-0.0355
CMP;0.5;0.1;1;30;5;0.8697;0.8158;-0.0539
CMP;0.5;0.1;1;40;5;0.9026;0.8371;-0.0655
CMP;0.5;0.1;1;60;4;0.9652;0.9456;-0.0195
CMP;0.5;0.1;1;80;5;0.9348;0.9135;-0.0213
CMP;0.5;0.1;40pos;16;5;0.7688;0.7448;-0.0240
CMP;0.5;0.1;40pos;24;5;0.7562;0.6831;-0.0730
CMP;0.5;0.1;40pos;32;5;0.7860;0.7717;-0.0143
CMP;0.5;0.1;40pos;48;4;0.9361;0.9093;-0.0268
CMP;0.5;0.1;40pos;64;2;1.0000;0.9950;-0.0050
CMP;0.5;0.1;40pos;8;5;0.7943;0.7305;-0.0638
CMP;0.5;0.1;60pos;12;5;0.6251;0.5442;-0.0809
CMP;0.5;0.1;60pos;24;5;0.8825;0.8443;-0.0382
CMP;0.5;0.1;60pos;36;5;0.8853;0.8194;-0.0659
CMP;0.5;0.1;60pos;48;5;0.7157;0.6923;-0.0234
CMP;0.5;0.1;60pos;72;5;0.9846;0.9826;-0.0020
