Category,Labelling_AAF,Generated Labellings
D,"{out(a), in(c)}, {}, {att(b,a). att(b,c). arg(a). arg(b). arg(c).}","{out(a), out(b), in(c)}"
D,"{in(b), out(c)}, {}, {att(b,a). att(b,c). att(c,b). arg(a). arg(b). arg(c).}","{in(a), in(c)}"
D,"{out(b), out(c), out(d), out(e)}, {}, {att(a,b). att(b,a). att(c,b). att(d,b). att(e,b). arg(a). arg(b). arg(c). arg(d). arg(e).}","{out(a), in(c), in(d), out(e)}"
E,"{in(a), out(b), in(c)}, {}, {att(b,c). att(c,b). arg(a). arg(b). arg(c).}",{out(a)}
E,"{in(a)}, {}, {att(a,b). att(a,c). att(c,a). arg(a). arg(b). arg(c).}","{out(a), in(c)}"
E,"{in(a)}, {}, {att(b,c). att(c,b). arg(a). arg(b). arg(c).}","{out(a), out(b), out(c)}"
E,"{out(a)}, {}, {att(b,a). att(b,c). att(c,b). arg(a). arg(b). arg(c).}",{out(c)}
E,"{in(a), out(b)}, {}, {att(a,b). att(a,c). att(a,d). att(c,a). att(d,a). arg(a). arg(b). arg(c). arg(d).}",{out(b)}
E,"{out(a), in(b)}, {}, {att(b,a). att(c,b). att(c,d). att(d,b). att(d,c). arg(a). arg(b). arg(c). arg(d).}","{in(a), out(c), out(d)}"
E,"{in(a), in(b), in(c), in(d)}, {}, {att(a,b). att(b,a). att(b,c). att(b,d). att(c,a). att(d,a). arg(a). arg(b). arg(c). arg(d).}","{in(b), out(c), in(d)}"
E,"{in(a), out(b), out(c)}, {}, {att(b,d). att(c,b). arg(a). arg(b). arg(c). arg(d).}","{in(a), in(b), in(c), out(d)}"
E,"{out(a), out(b), out(c), out(d), out(e)}, {}, {att(b,a). att(c,b). att(d,b). att(d,c). att(d,e). att(e,c). arg(a). arg(b). arg(c). arg(d). arg(e).}","{in(a), in(c)}"
E,"{in(a), out(b)}, {}, {att(c,b). att(c,d). att(d,b). att(d,c). arg(a). arg(b). arg(c). arg(d).}","{out(a), in(b), in(c), out(d)}"
E,"{in(a), out(b)}, {}, {att(c,b). att(d,b). arg(a). arg(b). arg(c). arg(d).}","{in(a), out(b)}"
E,"{in(a), out(b)}, {}, {att(b,a). att(c,b). att(c,d). att(d,b). att(d,c). arg(a). arg(b). arg(c). arg(d).}",{in(d)}
E,"{out(a)}, {}, {att(b,a). att(b,c). att(b,d). att(c,b). att(d,b). arg(a). arg(b). arg(c). arg(d).}","{out(b), out(d)}"
F,"{in(a), in(c), in(d)}, {}, {att(a,b). att(b,a). att(c,b). att(d,b). arg(a). arg(b). arg(c). arg(d).}","{in(b), out(c)}"
F,"{in(b)}, {}, {att(b,a). att(b,c). att(b,d). att(c,b). att(c,d). att(d,a). att(d,b). att(d,c). arg(a). arg(b). arg(c). arg(d).}","{in(a), in(b), in(c), out(d)}"
F,"{out(a), in(b)}, {}, {att(b,a). att(b,c). att(c,b). att(c,d). att(d,c). arg(a). arg(b). arg(c). arg(d).}","{in(a), out(b), out(c), in(d)}"
F,"{in(a), out(c), out(d)}, {}, {att(b,c). att(b,d). att(c,d). att(d,c). arg(a). arg(b). arg(c). arg(d).}","{out(c), in(d)}"
F,"{in(a), out(b)}, {}, {att(b,c). att(b,d). att(c,b). att(c,d). att(d,b). att(d,c). arg(a). arg(b). arg(c). arg(d).}","{in(a), in(b), in(c), out(d)}"
F,"{in(a), out(b)}, {}, {att(b,c). att(c,b). arg(a). arg(b). arg(c).}","{out(b), in(c)}"
F,"{in(a)}, {}, {att(a,b). att(b,c). att(b,d). att(c,b). att(c,d). att(d,b). att(d,c). arg(a). arg(b). arg(c). arg(d).}","{out(a), out(b), out(c), in(d)}"
F,"{in(a), in(b), out(d)}, {}, {arg(a). arg(b). arg(c). arg(d).}","{out(b), in(c)}"
F,"{in(a), out(b), in(c)}, {}, {att(b,a). att(c,a). att(c,d). att(d,a). att(d,c). arg(a). arg(b). arg(c). arg(d).}","{out(a), in(b), out(d)}"
F,"{in(a), in(b)}, {}, {att(b,c). att(c,d). att(d,c). arg(a). arg(b). arg(c). arg(d).}",{out(d)}
F,"{in(a), out(b)}, {}, {att(b,a). att(c,b). att(d,b). arg(a). arg(b). arg(c). arg(d).}","{in(a), in(b), out(c), out(d)}"
F,"{out(b), in(c), in(d)}, {}, {att(b,a). att(c,b). att(d,b). arg(a). arg(b). arg(c). arg(d).}","{in(a), out(d)}"
G,"{in(a), out(b), out(c)}, {}, {att(a,b). arg(a). arg(b). arg(c). arg(d).}","{in(a), out(d)}"
G,"{out(c)}, {}, {att(b,a). att(c,b). arg(a). arg(b). arg(c).}","{out(a), in(c)}"
G,"{in(a), in(d)}, {}, {att(a,b). att(c,b). att(c,d). arg(a). arg(b). arg(c). arg(d).}","{in(a), out(b), in(c), out(d)}"
G,"{out(a), in(c), in(d)}, {}, {att(b,a). att(c,b). att(d,b). att(d,c). arg(a). arg(b). arg(c). arg(d).}","{out(b), out(c), out(d)}"
G,"{in(a), out(b), in(c), in(d)}, {}, {att(b,a). att(c,b). att(d,b). arg(a). arg(b). arg(c). arg(d).}","{out(a), in(b), in(c)}"
G,"{out(b), out(c), in(d)}, {}, {att(b,a). att(c,b). att(d,b). att(d,c). arg(a). arg(b). arg(c). arg(d).}","{in(a), in(c), in(d)}"
G,"{out(b), in(c), in(d)}, {}, {att(b,a). att(c,b). att(d,b). att(d,c). arg(a). arg(b). arg(c). arg(d).}","{out(a), out(b), out(c)}"
G,"{in(a), out(c)}, {}, {att(a,b). att(b,a). att(c,b). att(c,d). att(d,b). att(d,c). arg(a). arg(b). arg(c). arg(d).}","{out(a), in(b), in(c)}"
G,"{out(a), in(b), in(d)}, {}, {att(b,a). att(c,b). att(d,b). att(d,c). arg(a). arg(b). arg(c). arg(d).}","{in(c), in(d)}"
G,"{in(a), out(c), in(d)}, {}, {att(a,b). att(b,a). att(c,b). att(c,d). att(d,b). arg(a). arg(b). arg(c). arg(d).}",{}
G,"{in(b)}, {}, {att(a,b). att(b,a). att(c,b). att(c,d). att(d,b). arg(a). arg(b). arg(c). arg(d).}","{out(b), out(c), in(d)}"
G,"{out(b), out(c), in(d)}, {}, {att(b,a). att(c,b). att(d,b). arg(a). arg(b). arg(c). arg(d).}","{out(a), out(b), out(c), in(d)}"
G,"{in(a), out(b), out(d)}, {}, {att(b,a). att(d,c). arg(a). arg(b). arg(c). arg(d).}","{in(a), in(b), out(c), in(d)}"
G,"{out(a), out(b), out(c), in(d)}, {}, {att(b,a). att(c,b). att(d,c). arg(a). arg(b). arg(c). arg(d).}","{in(a), in(b), out(d)}"
G,"{in(b), in(c), in(d)}, {}, {att(c,b). att(d,b). arg(a). arg(b). arg(c). arg(d).}","{in(a), out(c), out(d)}"
G,"{in(a), out(b), in(c), in(d)}, {}, {att(a,b). att(d,c). arg(a). arg(b). arg(c). arg(d).}",{out(d)}
G,"{out(a), in(d)}, {}, {att(a,d). att(b,a). att(b,d). att(c,b). att(c,d). att(d,a). att(d,b). att(d,c). arg(a). arg(b). arg(c). arg(d).}","{in(a), out(b), in(c), in(d)}"
G,"{in(a), out(b), in(c), out(d)}, {}, {att(a,c). att(b,a). att(c,a). att(d,b). arg(a). arg(b). arg(c). arg(d).}","{out(a), in(b), in(c), out(d)}"
G,"{out(b), in(c)}, {}, {att(a,b). att(b,a). arg(a). arg(b). arg(c).}","{in(a), in(c)}"
