,ID,ATTACK,ARGS,EXTENSION
93,p67_versionC,"att(b,a).  att(b,c).  att(c,b).  att(c,d).  att(d,c). ",arg(a). arg(b). arg(c). arg(d).,out(a) in(b)
94,p68_versionC,"att(b,c).  att(b,d).  att(c,d).  att(d,c). ",arg(a). arg(b). arg(c). arg(d).,in(a) out(c) out(d)
95,p69_versionC,"att(b,c).  att(b,d).  att(c,b).  att(c,d).  att(d,b).  att(d,c). ",arg(a). arg(b). arg(c). arg(d).,in(a) out(b)
96,p6_versionD,"att(b,c).  att(c,b). ",arg(a). arg(b). arg(c).,in(a) out(b)
97,p70_versionC,"att(a,b).  att(b,c).  att(b,d).  att(c,b).  att(c,d).  att(d,b).  att(d,c). ",arg(a). arg(b). arg(c). arg(d).,in(a)
98,p71_versionC,,arg(a). arg(b). arg(c). arg(d).,in(a) in(b) out(d)
99,p72_versionC,"att(b,a).  att(c,a).  att(c,d).  att(d,a).  att(d,c). ",arg(a). arg(b). arg(c). arg(d).,in(a) out(b) in(c)
100,p73_versionC,"att(b,c).  att(b,d).  att(c,b).  att(c,d).  att(d,b).  att(d,c). ",arg(a). arg(b). arg(c). arg(d).,in(a) out(b)
101,p74_versionC,"att(b,c).  att(c,d).  att(d,c). ",arg(a). arg(b). arg(c). arg(d).,in(a) in(b)
102,p75_versionA,"att(c,b).  att(d,b). ",arg(a). arg(b). arg(c). arg(d).,in(a) out(b)
103,p76_versionA,"att(b,a).  att(c,b).  att(d,b). ",arg(a). arg(b). arg(c). arg(d).,in(a) out(b)
104,p77_versionA,"att(b,a).  att(c,b).  att(d,b). ",arg(a). arg(b). arg(c). arg(d).,out(b) in(c) in(d)
105,p78_versionA,"att(b,a).  att(c,b).  att(d,b). ",arg(a). arg(b). arg(c). arg(d).,in(a) out(b)
106,p79_versionA,"att(a,b). ",arg(a). arg(b). arg(c). arg(d).,in(a) out(b) out(c)
107,p7_versionD,"att(b,a).  att(c,b). ",arg(a). arg(b). arg(c).,out(c)
108,p80_versionA,"att(a,b).  att(c,b).  att(c,d). ",arg(a). arg(b). arg(c). arg(d).,in(a) in(d)
109,p81_versionA,"att(b,a).  att(c,b).  att(d,b).  att(d,c). ",arg(a). arg(b). arg(c). arg(d).,out(a) in(c) in(d)
110,p82_versionA,"att(b,a).  att(c,b).  att(d,b). ",arg(a). arg(b). arg(c). arg(d).,in(a) out(b) in(c) in(d)
111,p83_versionA,"att(b,a).  att(c,b).  att(d,b).  att(d,c). ",arg(a). arg(b). arg(c). arg(d).,out(b) out(c) in(d)
112,p84_versionA,"att(b,a).  att(c,b).  att(d,b).  att(d,c). ",arg(a). arg(b). arg(c). arg(d).,out(b) in(c) in(d)
113,p85_versionA,"att(a,b).  att(b,a).  att(c,b).  att(c,d).  att(d,b).  att(d,c). ",arg(a). arg(b). arg(c). arg(d).,in(a) out(c)
114,p86_versionA,"att(b,a).  att(c,b).  att(d,b).  att(d,c). ",arg(a). arg(b). arg(c). arg(d).,out(a) in(b) in(d)
115,p87_versionA,"att(a,b).  att(b,a).  att(c,b).  att(c,d).  att(d,b). ",arg(a). arg(b). arg(c). arg(d).,in(a) out(c) in(d)
116,p88_versionA,"att(a,b).  att(b,a).  att(c,b).  att(c,d).  att(d,b). ",arg(a). arg(b). arg(c). arg(d).,in(b)
117,p89_versionA,"att(b,a).  att(c,b).  att(d,b). ",arg(a). arg(b). arg(c). arg(d).,in(a) out(b)
118,p8_versionD,"att(b,a).  att(c,b). ",arg(a). arg(b). arg(c).,in(a) out(b) in(c)
119,p90_versionA,"att(b,a).  att(c,b).  att(d,b). ",arg(a). arg(b). arg(c). arg(d).,out(b) out(c) in(d)
120,p91_versionA,"att(b,a).  att(d,c). ",arg(a). arg(b). arg(c). arg(d).,in(a) out(b) out(d)
121,p92_versionA,"att(b,a).  att(c,b).  att(d,c). ",arg(a). arg(b). arg(c). arg(d).,out(a) out(b) out(c) in(d)
122,p93_versionA,"att(c,b).  att(d,b). ",arg(a). arg(b). arg(c). arg(d).,in(b) in(c) in(d)
123,p94_versionA,"att(a,b).  att(d,c). ",arg(a). arg(b). arg(c). arg(d).,in(a) out(b) in(c) in(d)
124,p95_versionB,"att(b,a).  att(c,b).  att(c,d).  att(d,b).  att(d,c). ",arg(a). arg(b). arg(c). arg(d).,in(a) out(b)
125,p96_versionB,"att(a,d).  att(b,a).  att(b,d).  att(c,b).  att(c,d).  att(d,a).  att(d,b).  att(d,c). ",arg(a). arg(b). arg(c). arg(d).,out(a) in(d)
126,p97_versionB,"att(b,a).  att(c,b).  att(c,d).  att(d,b).  att(d,c). ",arg(a). arg(b). arg(c). arg(d).,in(a) out(b)
127,p98_versionB,"att(a,c).  att(b,a).  att(c,a).  att(d,b). ",arg(a). arg(b). arg(c). arg(d).,in(a) out(b) in(c) out(d)
128,p99_versionB,"att(b,a).  att(c,b).  att(c,d).  att(d,b).  att(d,c). ",arg(a). arg(b). arg(c). arg(d).,in(a) out(b)
129,p9_versionD,"att(a,b).  att(b,a). ",arg(a). arg(b). arg(c).,out(b) in(c)
